The girl that the human appreciated floated .	* girl ( x _ 1 ) ; * human ( x _ 4 ) ; girl . nmod ( x _ 1 , x _ 5 ) AND appreciate . agent ( x _ 5 , x _ 4 ) AND appreciate . theme ( x _ 5 , x _ 1 ) AND float . theme ( x _ 6 , x _ 1 )	float ( theme = * girl ( nmod = appreciate ( agent = * human , theme = * girl ) ) )	subj_modif_dobj_extracted
The director that gave Emma a toy rolled the sweetcorn .	* director ( x _ 1 ) ; * sweetcorn ( x _ 9 ) ; director . nmod ( x _ 1 , x _ 3 ) AND give . agent ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , Emma ) AND give . theme ( x _ 3 , x _ 6 ) AND toy ( x _ 6 ) AND roll . agent ( x _ 7 , x _ 1 ) AND roll . theme ( x _ 7 , x _ 9 )	roll ( agent = * director ( nmod = give ( agent = * director , recipient = Emma , theme = toy ) ) , theme = * sweetcorn )	subj_modif_subj_extracted
The dog that preferred to nap lent the biscuit to Noah .	* dog ( x _ 1 ) ; * biscuit ( x _ 8 ) ; dog . nmod ( x _ 1 , x _ 3 ) AND prefer . agent ( x _ 3 , x _ 1 ) AND prefer . xcomp ( x _ 3 , x _ 5 ) AND nap . agent ( x _ 5 , x _ 1 ) AND lend . agent ( x _ 6 , x _ 1 ) AND lend . theme ( x _ 6 , x _ 8 ) AND lend . recipient ( x _ 6 , Noah )	lend ( agent = * dog ( nmod = prefer ( agent = * dog , xcomp = nap ( agent = * dog ) ) ) , theme = * biscuit , recipient = Noah )	subj_modif_subj_extracted
The cat that changed a doll wanted to giggle .	* cat ( x _ 1 ) ; cat . nmod ( x _ 1 , x _ 3 ) AND change . agent ( x _ 3 , x _ 1 ) AND change . theme ( x _ 3 , x _ 5 ) AND doll ( x _ 5 ) AND want . agent ( x _ 6 , x _ 1 ) AND want . xcomp ( x _ 6 , x _ 8 ) AND giggle . agent ( x _ 8 , x _ 1 )	want ( agent = * cat ( nmod = change ( agent = * cat , theme = doll ) ) , xcomp = giggle ( agent = * cat ( nmod = change ( agent = * cat , theme = doll ) ) ) )	subj_modif_subj_extracted
The bee that valued that Olivia tried to jog offered Emma the donut .	* bee ( x _ 1 ) ; * donut ( x _ 12 ) ; bee . nmod ( x _ 1 , x _ 3 ) AND value . agent ( x _ 3 , x _ 1 ) AND value . ccomp ( x _ 3 , x _ 6 ) AND try . agent ( x _ 6 , Olivia ) AND try . xcomp ( x _ 6 , x _ 8 ) AND jog . agent ( x _ 8 , Olivia ) AND offer . agent ( x _ 9 , x _ 1 ) AND offer . recipient ( x _ 9 , Emma ) AND offer . theme ( x _ 9 , x _ 12 )	offer ( agent = * bee ( nmod = value ( agent = * bee , ccomp = try ( agent = Olivia , xcomp = jog ( agent = Olivia ) ) ) ) , recipient = Emma , theme = * donut )	subj_modif_subj_extracted
The toy that Noah offered a girl was hunted .	* toy ( x _ 1 ) ; toy . nmod ( x _ 1 , x _ 4 ) AND offer . agent ( x _ 4 , Noah ) AND offer . recipient ( x _ 4 , x _ 6 ) AND offer . theme ( x _ 4 , x _ 1 ) AND girl ( x _ 6 ) AND hunt . theme ( x _ 8 , x _ 1 )	hunt ( theme = * toy ( nmod = offer ( agent = Noah , recipient = girl , theme = * toy ) ) )	subj_modif_dobj_extracted
A boy that Evelyn painted slept .	boy ( x _ 1 ) AND boy . nmod ( x _ 1 , x _ 4 ) AND paint . agent ( x _ 4 , Evelyn ) AND paint . theme ( x _ 4 , x _ 1 ) AND sleep . agent ( x _ 5 , x _ 1 )	sleep ( agent = boy ( nmod = paint ( agent = Evelyn , theme = boy ) ) )	subj_modif_dobj_extracted
A child that Olivia dusted touched a cake .	child ( x _ 1 ) AND child . nmod ( x _ 1 , x _ 4 ) AND dust . agent ( x _ 4 , Olivia ) AND dust . theme ( x _ 4 , x _ 1 ) AND touch . agent ( x _ 5 , x _ 1 ) AND touch . theme ( x _ 5 , x _ 7 ) AND cake ( x _ 7 )	touch ( agent = child ( nmod = dust ( agent = Olivia , theme = child ) ) , theme = cake )	subj_modif_dobj_extracted
The girl that Liam helped tossed a melon .	* girl ( x _ 1 ) ; girl . nmod ( x _ 1 , x _ 4 ) AND help . agent ( x _ 4 , Liam ) AND help . theme ( x _ 4 , x _ 1 ) AND toss . agent ( x _ 5 , x _ 1 ) AND toss . theme ( x _ 5 , x _ 7 ) AND melon ( x _ 7 )	toss ( agent = * girl ( nmod = help ( agent = Liam , theme = * girl ) ) , theme = melon )	subj_modif_dobj_extracted
A rose that the boy liked was worshipped by a student .	* boy ( x _ 4 ) ; rose ( x _ 1 ) AND rose . nmod ( x _ 1 , x _ 5 ) AND like . agent ( x _ 5 , x _ 4 ) AND like . theme ( x _ 5 , x _ 1 ) AND worship . theme ( x _ 7 , x _ 1 ) AND worship . agent ( x _ 7 , x _ 10 ) AND student ( x _ 10 )	worship ( theme = rose ( nmod = like ( agent = * boy , theme = rose ) ) , agent = student )	subj_modif_dobj_extracted
A cake that the girl liked was frozen .	* girl ( x _ 4 ) ; cake ( x _ 1 ) AND cake . nmod ( x _ 1 , x _ 5 ) AND like . agent ( x _ 5 , x _ 4 ) AND like . theme ( x _ 5 , x _ 1 ) AND freeze . theme ( x _ 7 , x _ 1 )	freeze ( theme = cake ( nmod = like ( agent = * girl , theme = cake ) ) )	subj_modif_dobj_extracted
The boy that Emma cooked painted the sweetcorn .	* boy ( x _ 1 ) ; * sweetcorn ( x _ 7 ) ; boy . nmod ( x _ 1 , x _ 4 ) AND cook . agent ( x _ 4 , Emma ) AND cook . theme ( x _ 4 , x _ 1 ) AND paint . agent ( x _ 5 , x _ 1 ) AND paint . theme ( x _ 5 , x _ 7 )	paint ( agent = * boy ( nmod = cook ( agent = Emma , theme = * boy ) ) , theme = * sweetcorn )	subj_modif_dobj_extracted
A hat that was pierced by Olivia was eaten by a girl .	hat ( x _ 1 ) AND hat . nmod ( x _ 1 , x _ 4 ) AND pierce . theme ( x _ 4 , x _ 1 ) AND pierce . agent ( x _ 4 , Olivia ) AND eat . theme ( x _ 8 , x _ 1 ) AND eat . agent ( x _ 8 , x _ 11 ) AND girl ( x _ 11 )	eat ( theme = hat ( nmod = pierce ( theme = hat , agent = Olivia ) ) , agent = girl )	subj_modif_subj_extracted
A cake that Liam gave to Luna was given to the hen .	* hen ( x _ 11 ) ; cake ( x _ 1 ) AND cake . nmod ( x _ 1 , x _ 8 ) AND give . agent ( x _ 4 , Liam ) AND give . theme ( x _ 4 , x _ 1 ) AND give . recipient ( x _ 4 , Luna ) AND give . theme ( x _ 4 , x _ 1 ) AND give . recipient ( x _ 4 , x _ 11 ) AND give . agent ( x _ 8 , Liam ) AND give . theme ( x _ 8 , x _ 1 ) AND give . recipient ( x _ 8 , Luna ) AND give . theme ( x _ 8 , x _ 1 ) AND give . recipient ( x _ 8 , x _ 11 )	give ( theme = cake ( nmod = give ( agent = Liam , theme = cake , recipient = Luna ) ) , recipient = * hen )	subj_modif_dobj_extracted
William hoped that a cake that the chicken served Olivia was wired to Lucas .	* chicken ( x _ 7 ) ; hope . agent ( x _ 1 , William ) AND hope . ccomp ( x _ 1 , x _ 11 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 8 ) AND serve . agent ( x _ 8 , x _ 7 ) AND serve . recipient ( x _ 8 , Olivia ) AND serve . theme ( x _ 8 , x _ 4 ) AND wire . theme ( x _ 11 , x _ 4 ) AND wire . recipient ( x _ 11 , Lucas )	hope ( agent = William , ccomp = wire ( theme = cake ( nmod = serve ( agent = * chicken , recipient = Olivia , theme = cake ) ) , recipient = Lucas ) )	subj_modif_dobj_extracted
A book that Noah ate was eaten by the champion .	* champion ( x _ 9 ) ; book ( x _ 1 ) AND book . nmod ( x _ 1 , x _ 6 ) AND eat . theme ( x _ 4 , x _ 1 ) AND eat . agent ( x _ 4 , x _ 9 ) AND eat . agent ( x _ 4 , Noah ) AND eat . theme ( x _ 4 , x _ 1 ) AND eat . theme ( x _ 6 , x _ 1 ) AND eat . agent ( x _ 6 , x _ 9 ) AND eat . agent ( x _ 6 , Noah ) AND eat . theme ( x _ 6 , x _ 1 )	eat ( theme = book ( nmod = eat ( agent = Noah , theme = book ) ) , agent = * champion )	subj_modif_dobj_extracted
A poet that Emma dusted smiled .	poet ( x _ 1 ) AND poet . nmod ( x _ 1 , x _ 4 ) AND dust . agent ( x _ 4 , Emma ) AND dust . theme ( x _ 4 , x _ 1 ) AND smile . agent ( x _ 5 , x _ 1 )	smile ( agent = poet ( nmod = dust ( agent = Emma , theme = poet ) ) )	subj_modif_dobj_extracted
