Emma lended Ava a ring that Olivia offered Camila .	lend ( agent = Emma , recipient = Ava , theme = ring ( nmod = offer ( agent = Olivia , recipient = Camila , theme = ring ) ) )
Emma nursed a horse that danced .	nurse ( agent = Emma , theme = horse ( nmod = dance ( agent = horse ) ) )
Olivia promised the radio that was rolled by the girl to a chicken .	promise ( agent = Olivia , theme = * radio ( nmod = roll ( agent = * girl , theme = * radio ) ) , recipient = chicken )
Noah liked that Emma liked the chemical that a zebra drew .	like ( agent = Noah , ccomp = like ( agent = Emma , theme = * chemical ( nmod = draw ( agent = zebra , theme = * chemical ) ) ) )
Olivia liked a boy that helped the sheep .	like ( agent = Olivia , theme = boy ( nmod = help ( theme = * sheep , agent = boy ) ) )
The girl knew the bucket that was missed by Logan .	know ( agent = * girl , theme = * bucket ( nmod = miss ( agent = Logan , theme = * bucket ) ) )
Elizabeth lended the dog the cake that Leo examined .	lend ( agent = Elizabeth , recipient = * dog , theme = * cake ( nmod = examine ( agent = Leo , theme = * cake ) ) )
The girl shortened a dealer that tried to jog .	shorten ( agent = * girl , theme = dealer ( nmod = try ( xcomp = jog ( agent = dealer ) , agent = dealer ) ) )
The baby sold a pig the cake that was slipped to a teacher by the chicken .	sell ( agent = * baby , recipient = pig , theme = * cake ( nmod = slip ( recipient = teacher , agent = * chicken , theme = * cake ) ) )
A girl noticed that the dealer ate a yogurt that was split .	notice ( agent = girl , ccomp = eat ( agent = * dealer , theme = yogurt ( nmod = split ( theme = yogurt ) ) ) )
Noah froze a donut that was helped by the cat .	freeze ( agent = Noah , theme = donut ( nmod = help ( agent = * cat , theme = donut ) ) )
The buyer broke a cake that Sophia rolled .	break ( agent = * buyer , theme = cake ( nmod = roll ( agent = Sophia , theme = cake ) ) )
The horse ate the boy that Emma rolled .	eat ( agent = * horse , theme = * boy ( nmod = roll ( agent = Emma , theme = * boy ) ) )
Liam burned the cookie that Emma dusted .	burn ( agent = Liam , theme = * cookie ( nmod = dust ( agent = Emma , theme = * cookie ) ) )
Emma split Evelyn that the frog drew .	split ( agent = Emma , theme = Evelyn ( nmod = draw ( agent = * frog , theme = Evelyn ) ) )
A girl inflated the cake that was rented to Olivia by a cat .	inflate ( agent = girl , theme = * cake ( nmod = rent ( recipient = Olivia , agent = cat , theme = * cake ) ) )
