a box was wired to the boy beside the stage by a bear	wire ( theme = box , recipient = * boy ( nmod . beside = * stage ) , agent = bear )
the donut was given to the boy on a table	give ( theme = * donut , recipient = * boy ( nmod . on = table ) )
the dog awarded the scarf on a cabinet to a girl in the bun	award ( agent = * dog , theme = * scarf ( nmod . on = cabinet ) , recipient = girl ( nmod . in = * bun ) )
the spokesman posted the girl in the car the strawberry	post ( agent = * spokesman , recipient = * girl ( nmod . in = * car ) , theme = * strawberry )
a cake was given to the mother beside the machine by Emma	give ( theme = cake , recipient = * mother ( nmod . beside = * machine ) , agent = Emma )
Liam gave the strawberry to the girl beside the stage	give ( agent = Liam , theme = * strawberry , recipient = * girl ( nmod . beside = * stage ) )
a cake was lended to a cat in the house	lend ( theme = cake , recipient = cat ( nmod . in = * house ) )
a girl posted a researcher on a bed the cookie	post ( agent = girl , recipient = researcher ( nmod . on = bed ) , theme = * cookie )
a cake was sent to a boy on a hanger	send ( theme = cake , recipient = boy ( nmod . on = hanger ) )
a donut was given to the penguin beside a box by a girl	give ( theme = donut , recipient = * penguin ( nmod . beside = box ) , agent = girl )
a donut was offered to the girl on the bun by Liam	offer ( theme = donut , recipient = * girl ( nmod . on = * bun ) , agent = Liam )
Emma wired the donut to the girl on the plate	wire ( agent = Emma , theme = * donut , recipient = * girl ( nmod . on = * plate ) )
the cake was given to the lamb in the room	give ( theme = * cake , recipient = * lamb ( nmod . in = * room ) )
the pickle was given to a frog beside a house	give ( theme = * pickle , recipient = frog ( nmod . beside = house ) )
a soap was rented to a dog on the stage by Claire	rent ( theme = soap , recipient = dog ( nmod . on = * stage ) , agent = Claire )
Sebastian sold a donut beside the glass to the horse beside the speaker	sell ( agent = Sebastian , theme = donut ( nmod . beside = * glass ) , recipient = * horse ( nmod . beside = * speaker ) )
a dog gave a servant beside a stage a cookie	give ( agent = dog , recipient = servant ( nmod . beside = stage ) , theme = cookie )
a lion gave a giraffe in the monastery the plate	give ( agent = lion , recipient = giraffe ( nmod . in = * monastery ) , theme = * plate )
Harper hoped that a biscuit was fed to a cat in a house	hope ( agent = Harper , ccomp = feed ( theme = biscuit , recipient = cat ( nmod . in = house ) ) )
a cake was lended to the boy beside a table by a frog	lend ( theme = cake , recipient = * boy ( nmod . beside = table ) , agent = frog )
a shell was loaned to the puppy beside a table	loan ( theme = shell , recipient = * puppy ( nmod . beside = table ) )
the cake was fed to the girl on a rack	feed ( theme = * cake , recipient = * girl ( nmod . on = rack ) )
the rose was lended to the girl beside a stage	lend ( theme = * rose , recipient = * girl ( nmod . beside = stage ) )
the mouse lended the cat on a table the strawberry	lend ( agent = * mouse , recipient = * cat ( nmod . on = table ) , theme = * strawberry )
a box was posted to a boy in a house by Emma	post ( theme = box , recipient = boy ( nmod . in = house ) , agent = Emma )
the cake was returned to a cat in the car by Noah	return ( theme = * cake , recipient = cat ( nmod . in = * car ) , agent = Noah )
Madison hoped that the cake was given to the girl beside the table	hope ( agent = Madison , ccomp = give ( theme = * cake , recipient = * girl ( nmod . beside = * table ) ) )
the fruit was given to a girl on the notebook	give ( theme = * fruit , recipient = girl ( nmod . on = * notebook ) )
a cake was sold to the dog in the house by a boy	sell ( theme = cake , recipient = * dog ( nmod . in = * house ) , agent = boy )
the butterfly liked that a box was returned to a horse on a table by the hen	like ( agent = * butterfly , ccomp = return ( theme = box , recipient = horse ( nmod . on = table ) , agent = * hen ) )
the dog sold the customer in a glass the doll on a table	sell ( agent = * dog , recipient = * customer ( nmod . in = glass ) , theme = * doll ( nmod . on = table ) )
a girl gave a mouse on the ladder the donut on a surface	give ( agent = girl , recipient = mouse ( nmod . on = * ladder ) , theme = * donut ( nmod . on = surface ) )
Liam sent a rose on a stage to the cat in the room	send ( agent = Liam , theme = rose ( nmod . on = stage ) , recipient = * cat ( nmod . in = * room ) )
